Date,Open,High,Low,Close,Adj Close,Volume,PC1,PC2
-1.7317578547806356,-0.5388297875538347,-0.5396334319960202,-0.5379193562680026,-0.5388454325466038,-0.5305591955426723,0.5069164936547567,1.6771807655171722,-0.00256478767485627
-1.731367247392617,-0.5395943313728072,-0.5404602720286968,-0.5387614390915273,-0.5396797083673772,-0.5312824616729934,-0.5885611947282674,1.756169525162977,0.9699535483110656
-1.7309766400045983,-0.5407065196686048,-0.5415628488882802,-0.5398843419486437,-0.5407922007215717,-0.5322470462092203,-0.8507325189443317,1.7768442413068626,1.202152561738439
-1.7305860326165796,-0.540428503734433,-0.5412183322079983,-0.5395334741055084,-0.5404445857962494,-0.5319456393824268,-0.9228045209079431,1.7811264309381505,1.266166344846699
-1.730195425228561,-0.540011355274065,-0.5408047887089789,-0.5391123069346625,-0.5400273232926995,-0.531583868499787,-0.9713547661331402,1.7835742945379238,1.309325681379695
-1.7298048178405423,-0.5391078034880066,-0.5399090453402456,-0.5382000505425109,-0.5391235244868616,-0.5308002383136197,-1.0641024759771374,1.7881529466484039,1.3919689261648107
-1.7294142104525239,-0.538343259669034,-0.5391509851609444,-0.5374281412876133,-0.5383587716511526,-0.5301371984216654,-1.1062072576120927,1.7894353152564142,1.4295641726816137
-1.7290236030645052,-0.5376480952744941,-0.5384619518003805,-0.5367262798422592,-0.5376634172073449,-0.5295343847680783,-1.0703805249286715,1.7853501061813268,1.3979045992570376
-1.7286329956764865,-0.5367445434884357,-0.5375662084316473,-0.5358140234501075,-0.536759618401507,-0.5287507545819109,-1.0664462809190434,1.7830937174154766,1.3946701554124
-1.7282423882884679,-0.5350763233242943,-0.5359124048836128,-0.5341297320439745,-0.5350909421667968,-0.5273040845037893,-1.038153206977463,1.7775529776799197,1.3701535411740622
-1.7278517809004492,-0.5347983073901226,-0.5356367915393873,-0.5338490377694665,-0.534812850226539,-0.5270629039153628,-0.8976923251018067,1.7669227213769467,1.2453593504326805
-1.7274611735124306,-0.5352153312913803,-0.5361191148917821,-0.5343402527498557,-0.5352995111219903,-0.5274849010363696,-0.9884310592813129,1.7741703329899714,1.325580025789023
-1.727070566124412,-0.535771363159724,-0.5366703415802332,-0.5349016412988722,-0.5358556950025058,-0.5279671243957434,-1.1122341846055654,1.783926631067512,1.4351314479983956
